Method:,Column 1,,
Host Date-Time:,23/6/21 @ 16:49:8,,
Header Version:,1,,
System Temp (C):,29.99,,
Detector Temp (C):,27.34,,
Humidity (%):,41.12,,
Lamp PD:,3762,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.484,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.036550,41838.000000,38461.000000
904.997985,0.047483,48103.000000,43121.000000
908.903577,0.053213,54016.000000,47787.000000
912.804913,0.059404,60169.000000,52477.000000
918.000073,0.065387,70564.000000,60701.000000
921.891478,0.071235,79654.000000,67604.000000
925.778627,0.075513,89700.000000,75384.000000
929.661520,0.080626,100239.000000,83255.000000
933.540156,0.085068,109446.000000,89977.000000
937.414537,0.087663,117708.000000,96193.000000
941.284661,0.092937,124606.000000,100601.000000
945.150529,0.101048,131146.000000,103922.000000
949.012141,0.105222,136760.000000,107334.000000
952.869497,0.112015,141885.000000,109628.000000
958.006018,0.120284,147984.000000,112184.000000
961.853443,0.125146,153029.000000,114717.000000
965.696612,0.129547,157730.000000,117049.000000
969.535525,0.130989,162181.000000,119953.000000
973.370181,0.132599,166803.000000,122915.000000
977.200582,0.137780,171686.000000,125013.000000
981.026726,0.137533,175039.000000,127527.000000
984.848614,0.139897,179017.000000,129717.000000
988.666246,0.141021,182897.000000,132186.000000
992.479622,0.142086,185253.000000,133561.000000
996.288742,0.142051,187818.000000,135421.000000
1001.360948,0.143493,190772.000000,137095.000000
1005.160137,0.145465,192876.000000,137979.000000
1008.955070,0.143521,193747.000000,139224.000000
1012.745747,0.145807,195280.000000,139589.000000
1016.532167,0.146011,196346.000000,140285.000000
1020.314331,0.146155,197194.000000,140844.000000
1024.092240,0.147867,198095.000000,140931.000000
1027.865892,0.148985,198497.000000,140854.000000
1031.635288,0.149362,199321.000000,141316.000000
1035.400428,0.150489,200160.000000,141543.000000
1040.413994,0.150122,199967.000000,141526.000000
1044.169203,0.150338,199836.000000,141363.000000
1047.920156,0.152257,200123.000000,140942.000000
1051.666852,0.153671,199995.000000,140394.000000
1055.409293,0.154830,200001.000000,140024.000000
1059.147477,0.155063,200157.000000,140058.000000
1062.881406,0.157765,200769.000000,139615.000000
1066.611078,0.159473,200632.000000,138972.000000
1070.336494,0.160651,201345.000000,139088.000000
1074.057654,0.164123,201966.000000,138406.000000
1079.012580,0.164454,203069.000000,139056.000000
1082.723809,0.166854,204488.000000,139256.000000
1086.430782,0.168527,205553.000000,139443.000000
1090.133498,0.171535,207289.000000,139650.000000
1093.831959,0.173566,209194.000000,140276.000000
1097.526163,0.176084,210937.000000,140627.000000
1101.216112,0.179492,213258.000000,141063.000000
1104.901804,0.183305,215518.000000,141312.000000
1108.583240,0.184508,217607.000000,142287.000000
1112.260420,0.188776,219948.000000,142411.000000
1115.933344,0.193074,221873.000000,142243.000000
1120.823955,0.199934,225409.000000,142245.000000
1124.486948,0.207568,228069.000000,141416.000000
1128.145685,0.215430,230370.000000,140280.000000
