Method:,Column 1,,
Host Date-Time:,23/6/21 @ 10:18:26,,
Header Version:,1,,
System Temp (C):,28.68,,
Detector Temp (C):,26.15,,
Humidity (%):,43.96,,
Lamp PD:,3762,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.510,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.169585,41838.000000,28313.000000
904.997985,0.177253,48103.000000,31983.000000
908.903577,0.182465,54016.000000,35486.000000
912.804913,0.185389,60169.000000,39263.000000
918.000073,0.195612,70564.000000,44975.000000
921.891478,0.203647,79654.000000,49838.000000
925.778627,0.210468,89700.000000,55249.000000
929.661520,0.214094,100239.000000,61227.000000
933.540156,0.221555,109446.000000,65712.000000
937.414537,0.225503,117708.000000,70033.000000
941.284661,0.232651,124606.000000,72927.000000
945.150529,0.244045,131146.000000,74767.000000
949.012141,0.253048,136760.000000,76368.000000
952.869497,0.263768,141885.000000,77298.000000
958.006018,0.272775,147984.000000,78966.000000
961.853443,0.279772,153029.000000,80353.000000
965.696612,0.287637,157730.000000,81335.000000
969.535525,0.289924,162181.000000,83191.000000
973.370181,0.294100,166803.000000,84743.000000
977.200582,0.296475,171686.000000,86748.000000
981.026726,0.296776,175039.000000,88381.000000
984.848614,0.297033,179017.000000,90336.000000
988.666246,0.300624,182897.000000,91534.000000
992.479622,0.296318,185253.000000,93637.000000
996.288742,0.299226,187818.000000,94300.000000
1001.360948,0.297136,190772.000000,96245.000000
1005.160137,0.298175,192876.000000,97074.000000
1008.955070,0.296945,193747.000000,97789.000000
1012.745747,0.296693,195280.000000,98620.000000
1016.532167,0.297440,196346.000000,98988.000000
1020.314331,0.296168,197194.000000,99707.000000
1024.092240,0.296457,198095.000000,100096.000000
1027.865892,0.295247,198497.000000,100579.000000
1031.635288,0.294815,199321.000000,101097.000000
1035.400428,0.294826,200160.000000,101520.000000
1040.413994,0.294916,199967.000000,101401.000000
1044.169203,0.292619,199836.000000,101872.000000
1047.920156,0.292139,200123.000000,102131.000000
1051.666852,0.291033,199995.000000,102326.000000
1055.409293,0.293980,200001.000000,101637.000000
1059.147477,0.295680,200157.000000,101319.000000
1062.881406,0.296291,200769.000000,101486.000000
1066.611078,0.297336,200632.000000,101173.000000
1070.336494,0.300020,201345.000000,100907.000000
1074.057654,0.300673,201966.000000,101066.000000
1079.012580,0.302772,203069.000000,101128.000000
1082.723809,0.305363,204488.000000,101229.000000
1086.430782,0.307894,205553.000000,101165.000000
1090.133498,0.312487,207289.000000,100946.000000
1093.831959,0.312196,209194.000000,101942.000000
1097.526163,0.317486,210937.000000,101547.000000
1101.216112,0.320889,213258.000000,101863.000000
1104.901804,0.326333,215518.000000,101660.000000
1108.583240,0.328396,217607.000000,102159.000000
1112.260420,0.333286,219948.000000,102102.000000
1115.933344,0.339480,221873.000000,101537.000000
1120.823955,0.347722,225409.000000,101216.000000
1124.486948,0.357793,228069.000000,100063.000000
1128.145685,0.369488,230370.000000,98387.000000
1131.800165,0.386991,232879.000000,95530.000000
1135.450390,0.401255,235735.000000,93577.000000
1139.096358,0.420294,238069.000000,90450.000000
1142.738071,0.442069,241252.000000,87177.000000
1146.375527,0.457909,243862.000000,84964.000000
1150.008727,0.469870,245824.000000,83321.000000
1153.637671,0.483710,249063.000000,81771.000000
1158.469642,0.493963,252780.000000,81055.000000
1162.088655,0.502410,256260.000000,80588.000000
1165.703412,0.510894,259055.000000,79891.000000
1169.313912,0.513457,261978.000000,80317.000000
1172.920157,0.520713,264985.000000,79893.000000
1176.522145,0.523824,269426.000000,80652.000000
1180.119878,0.527783,272409.000000,80805.000000
1183.713354,0.529580,276023.000000,81539.000000
1187.302574,0.533955,280835.000000,82129.000000
1190.887538,0.535301,284660.000000,82990.000000
1194.468246,0.536759,289355.000000,84076.000000
1199.235902,0.536197,294470.000000,85673.000000
1202.806679,0.537361,298982.000000,86753.000000
1206.373200,0.535689,303505.000000,88405.000000
1209.935464,0.534525,307931.000000,89935.000000
1213.493473,0.533782,312016.000000,91284.000000
1217.047225,0.532916,316965.000000,92917.000000
1220.596721,0.527724,321210.000000,95294.000000
1224.141962,0.527436,325858.000000,96737.000000
1227.682946,0.526722,330391.000000,98244.000000
1231.219673,0.523897,334507.000000,100117.000000
1235.928690,0.522463,339691.000000,102005.000000
1239.455487,0.522559,343760.000000,103204.000000
1242.978028,0.522745,347020.000000,104138.000000
1246.496312,0.520595,350545.000000,105718.000000
1250.010341,0.520616,353991.000000,106752.000000
1253.520113,0.520115,356683.000000,107688.000000
1257.025629,0.522589,358341.000000,107574.000000
1260.526889,0.521773,360820.000000,108522.000000
1264.023894,0.523802,364183.000000,109023.000000
1267.516641,0.526237,367840.000000,109502.000000
1272.167018,0.529071,373653.000000,110509.000000
1275.649835,0.531378,377992.000000,111200.000000
1279.128396,0.536115,382454.000000,111292.000000
1282.602700,0.540535,386758.000000,111405.000000
1286.072749,0.545623,391232.000000,111381.000000
1289.538541,0.551225,395482.000000,111148.000000
1293.000078,0.556709,399181.000000,110780.000000
1296.457358,0.563614,402851.000000,110035.000000
1299.910382,0.571448,405972.000000,108905.000000
1303.359150,0.580465,409012.000000,107466.000000
1306.803662,0.591124,412072.000000,105645.000000
1311.389723,0.606734,415273.000000,102707.000000
1314.824304,0.619740,418670.000000,100492.000000
1318.254629,0.632308,421073.000000,98186.000000
1321.680698,0.647072,422767.000000,95286.000000
1325.102510,0.662417,424477.000000,92350.000000
1328.520066,0.676911,425846.000000,89607.000000
1331.933367,0.691832,427220.000000,86860.000000
1335.342411,0.705377,428460.000000,84437.000000
1338.747199,0.721291,429602.000000,81616.000000
1342.147731,0.737193,430095.000000,78772.000000
1346.675152,0.756950,430925.000000,75414.000000
1350.065753,0.770493,430662.000000,73054.000000
1353.452098,0.785283,430235.000000,70538.000000
1356.834187,0.801576,429864.000000,67882.000000
1360.212019,0.821158,430326.000000,64959.000000
1363.585596,0.835894,429141.000000,62619.000000
1366.954916,0.860885,428594.000000,59042.000000
1370.319980,0.887160,427739.000000,55465.000000
1373.680788,0.921668,426684.000000,51102.000000
1377.037340,0.963551,424716.000000,46190.000000
1380.389636,1.003359,423009.000000,41975.000000
1384.852743,1.073261,421250.000000,35586.000000
1388.195107,1.128479,419513.000000,31208.000000
1391.533216,1.190390,418386.000000,26989.000000
1394.867069,1.237398,416533.000000,24113.000000
1398.196665,1.280389,415362.000000,21779.000000
1401.522005,1.323639,414359.000000,19667.000000
1404.843090,1.365841,412901.000000,17783.000000
1408.159918,1.381445,412217.000000,17127.000000
1411.472490,1.421990,411361.000000,15568.000000
1414.780805,1.430038,411033.000000,15270.000000
1419.185272,1.463662,409830.000000,14091.000000
1422.483657,1.474795,409401.000000,13720.000000
1425.777786,1.489391,409230.000000,13261.000000
1429.067659,1.494759,409352.000000,13102.000000
1432.353275,1.498495,408571.000000,12965.000000
1435.634635,1.496816,408784.000000,13022.000000
1438.911740,1.504338,408388.000000,12786.000000
1442.184588,1.503671,408718.000000,12816.000000
1445.453180,1.517430,408114.000000,12398.000000
1448.717516,1.515826,407298.000000,12419.000000
1453.063343,1.527844,406083.000000,12044.000000
1456.317748,1.516871,404893.000000,12316.000000
1459.567896,1.520797,403727.000000,12170.000000
1462.813789,1.518505,402460.000000,12196.000000
1466.055425,1.521278,401052.000000,12076.000000
1469.292806,1.520386,399335.000000,12049.000000
1472.525930,1.509913,397326.000000,12281.000000
1475.754798,1.519089,395699.000000,11975.000000
1478.979410,1.489799,393830.000000,12750.000000
1482.199766,1.495290,391553.000000,12517.000000
1485.415866,1.482750,389192.000000,12806.000000
1489.697378,1.479399,386592.000000,12819.000000
1492.903547,1.473687,383773.000000,12894.000000
1496.105460,1.456768,380646.000000,13297.000000
1499.303116,1.462533,377552.000000,13015.000000
1502.496517,1.454847,375404.000000,13172.000000
1505.685661,1.443208,371858.000000,13402.000000
1508.870549,1.440984,368993.000000,13367.000000
1512.051181,1.422647,365725.000000,13820.000000
1515.227557,1.415303,362273.000000,13923.000000
1518.399677,1.393812,358179.000000,14464.000000
1522.622549,1.387648,354157.000000,14506.000000
1525.784738,1.366377,350480.000000,15076.000000
1528.942671,1.373944,346255.000000,14637.000000
1532.096347,1.356973,342381.000000,15050.000000
1535.245768,1.345290,338077.000000,15266.000000
1538.390932,1.345804,334863.000000,15103.000000
1541.531840,1.328095,330125.000000,15509.000000
1544.668493,1.318751,325057.000000,15603.000000
1547.800888,1.307090,320643.000000,15810.000000
1550.929028,1.303872,316424.000000,15718.000000
1555.093261,1.279987,309495.000000,16243.000000
1558.211470,1.274101,305009.000000,16226.000000
1561.325422,1.275884,299676.000000,15877.000000
1564.435119,1.266297,294721.000000,15963.000000
1567.540560,1.253642,289557.000000,16147.000000
1570.641744,1.246496,284567.000000,16132.000000
1573.738672,1.237181,279754.000000,16203.000000
1576.831344,1.223968,274419.000000,16385.000000
1579.919760,1.223395,268872.000000,16075.000000
1583.003920,1.213509,263606.000000,16123.000000
1586.083824,1.207448,257921.000000,15997.000000
1590.183742,1.183406,250804.000000,16441.000000
1593.253714,1.186310,245422.000000,15981.000000
1596.319431,1.178978,239381.000000,15853.000000
1599.380892,1.171574,234206.000000,15777.000000
1602.438096,1.170954,228743.000000,15431.000000
1605.491044,1.161441,223323.000000,15399.000000
1608.539736,1.146128,217518.000000,15537.000000
1611.584172,1.151662,212282.000000,14971.000000
1614.624352,1.146631,206389.000000,14725.000000
1617.660276,1.138318,201087.000000,14624.000000
1621.701554,1.124658,193528.000000,14524.000000
1624.727547,1.132546,188622.000000,13901.000000
1627.749283,1.126433,183537.000000,13718.000000
1630.766764,1.126253,177844.000000,13298.000000
1633.779989,1.111794,171736.000000,13276.000000
1636.788957,1.109006,167154.000000,13005.000000
1639.793669,1.116075,161732.000000,12380.000000
1642.794125,1.121931,155612.000000,11752.000000
1645.790325,1.107760,149386.000000,11656.000000
1648.782269,1.104909,142246.000000,11172.000000
1651.769957,1.090232,133974.000000,10884.000000
1655.746920,1.087373,121380.000000,9926.000000
1658.724676,1.071077,110432.000000,9376.000000
1661.698177,1.065450,99058.000000,8520.000000
1664.667421,1.036281,87253.000000,8026.000000
1667.632410,1.031753,74987.000000,6970.000000
1670.593142,1.056481,63846.000000,5606.000000
1673.549618,1.069615,54103.000000,4609.000000
1676.501838,1.042025,45375.000000,4119.000000
1679.449802,1.045709,38529.000000,3468.000000
1682.393510,1.056085,32827.000000,2885.000000
1686.311833,1.045948,26067.000000,2345.000000
1689.245610,1.113613,22330.000000,1719.000000
1692.175130,1.054639,19574.000000,1726.000000
1695.100395,1.070018,16743.000000,1425.000000
1698.021403,1.071329,14743.000000,1251.000000
1700.938155,1.014400,12694.000000,1228.000000
