Method:,Column 1,,
Host Date-Time:,24/6/21 @ 9:18:57,,
Header Version:,1,,
System Temp (C):,30.43,,
Detector Temp (C):,27.27,,
Humidity (%):,43.84,,
Lamp PD:,3758,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.522,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,1.237935,41838.000000,2419.000000
904.997985,1.352368,48103.000000,2137.000000
908.903577,1.301159,54016.000000,2700.000000
912.804913,1.338936,60169.000000,2757.000000
918.000073,1.342755,70564.000000,3205.000000
921.891478,1.295364,79654.000000,4035.000000
925.778627,1.382016,89700.000000,3722.000000
929.661520,1.419770,100239.000000,3813.000000
933.540156,1.448581,109446.000000,3896.000000
937.414537,1.444055,117708.000000,4234.000000
941.284661,1.407832,124606.000000,4872.000000
945.150529,1.421661,131146.000000,4967.000000
949.012141,1.409721,136760.000000,5324.000000
952.869497,1.488518,141885.000000,4607.000000
958.006018,1.460606,147984.000000,5124.000000
961.853443,1.432725,153029.000000,5650.000000
965.696612,1.449029,157730.000000,5609.000000
969.535525,1.491083,162181.000000,5235.000000
973.370181,1.468927,166803.000000,5666.000000
977.200582,1.460510,171686.000000,5946.000000
981.026726,1.446560,175039.000000,6260.000000
984.848614,1.458615,179017.000000,6227.000000
988.666246,1.434192,182897.000000,6730.000000
992.479622,1.438848,185253.000000,6744.000000
996.288742,1.432691,187818.000000,6935.000000
1001.360948,1.441854,190772.000000,6897.000000
1005.160137,1.433898,192876.000000,7102.000000
1008.955070,1.431958,193747.000000,7166.000000
1012.745747,1.410645,195280.000000,7586.000000
1016.532167,1.449229,196346.000000,6979.000000
1020.314331,1.442170,197194.000000,7124.000000
1024.092240,1.412645,198095.000000,7660.000000
1027.865892,1.406440,198497.000000,7786.000000
1031.635288,1.420400,199321.000000,7571.000000
1035.400428,1.422855,200160.000000,7560.000000
1040.413994,1.425666,199967.000000,7504.000000
1044.169203,1.413676,199836.000000,7709.000000
1047.920156,1.408368,200123.000000,7815.000000
1051.666852,1.414472,199995.000000,7701.000000
1055.409293,1.421592,200001.000000,7576.000000
1059.147477,1.425500,200157.000000,7514.000000
1062.881406,1.408602,200769.000000,7836.000000
1066.611078,1.399310,200632.000000,8000.000000
1070.336494,1.429981,201345.000000,7481.000000
1074.057654,1.426871,201966.000000,7558.000000
1079.012580,1.446109,203069.000000,7270.000000
1082.723809,1.439971,204488.000000,7425.000000
1086.430782,1.450315,205553.000000,7288.000000
1090.133498,1.452065,207289.000000,7320.000000
1093.831959,1.451611,209194.000000,7395.000000
1097.526163,1.490942,210937.000000,6811.000000
1101.216112,1.487296,213258.000000,6944.000000
1104.901804,1.486281,215518.000000,7034.000000
1108.583240,1.556780,217607.000000,6038.000000
1112.260420,1.547971,219948.000000,6228.000000
1115.933344,1.553573,221873.000000,6202.000000
1120.823955,1.581310,225409.000000,5911.000000
1124.486948,1.604636,228069.000000,5668.000000
1128.145685,1.617820,230370.000000,5554.000000
1131.800165,1.613547,232879.000000,5670.000000
1135.450390,1.640835,235735.000000,5390.000000
1139.096358,1.664222,238069.000000,5158.000000
1142.738071,1.677292,241252.000000,5072.000000
1146.375527,1.680682,243862.000000,5087.000000
1150.008727,1.694006,245824.000000,4973.000000
1153.637671,1.662550,249063.000000,5417.000000
1158.469642,1.648394,252780.000000,5680.000000
1162.088655,1.645103,256260.000000,5802.000000
1165.703412,1.635096,259055.000000,6002.000000
1169.313912,1.666755,261978.000000,5643.000000
1172.920157,1.660693,264985.000000,5788.000000
1176.522145,1.647108,269426.000000,6072.000000
1180.119878,1.646841,272409.000000,6143.000000
1183.713354,1.671051,276023.000000,5887.000000
